estadoOrigem,estadoDestino,distancia,cidadeOrigem,cidadeDestino,tempoViagem
SP,SP,173,LIMEIRA,RIBEIRAO PRETO,1h 48min
SP,MG,260,ARARAQUARA,UBERABA,2h 44min
SP,SP,193,BARRETOS,SAO CARLOS,1h 59min
SP,SP,42,ARARAQUARA,SAO CARLOS,0h 30min
SP,SP,247,SAO CARLOS,SAO PAULO,2h 29min
RJ,MG,885,RIO DE JANEIRO,UBERABA,8h 56min
SP,MG,273,SAO CARLOS,UBERABA,2h 52min
SP,RJ,828,BARRETOS,RIO DE JANEIRO,8h 30min
SP,RJ,717,RIBEIRAO PRETO,RIO DE JANEIRO,
SP,SP,150,LIMEIRA,SAO PAULO,1h 37min
RJ,SP,437,RIO DE JANEIRO,SAO PAULO,4h 35min
SP,SP,88,ARARAQUARA,RIBEIRAO PRETO,
SP,MG,343,LIMEIRA,UBERABA,3h 29min
SP,SP,157,ARARAQUARA,BARRETOS,1h 41min
SP,SP,439,BARRETOS,SAO PAULO,4h 23min
SP,MG,483,SAO PAULO,UBERABA,4h 53min
SP,SP,102,RIBEIRAO PRETO,SAO CARLOS,1h 8min
SP,SP,316,RIBEIRAO PRETO,SAO PAULO,3h 12min
SP,MG,176,RIBEIRAO PRETO,UBERABA,
RJ,SP,635,RIO DE JANEIRO,SAO CARLOS,6h 31min
SP,SP,288,ARARAQUARA,SAO PAULO,
SP,RJ,551,LIMEIRA,RIO DE JANEIRO,5h 44min
SP,SP,123,BARRETOS,RIBEIRAO PRETO,1h 17min
SP,MG,142,BARRETOS,UBERABA,2h 14min
SP,RJ,678,ARARAQUARA,RIO DE JANEIRO,7h 1min
SP,SP,93,LIMEIRA,SAO CARLOS,1h 4min
SP,SP,278,BARRETOS,LIMEIRA,2h 56min
SP,SP,128,ARARAQUARA,LIMEIRA,
